股票代码,股票简称,概念板块,行业板块
000090,天健集团,2025中报预减;人工智能;住宅开发;光伏概念;养老金;央国企改革;富时罗素;广东板块;房地产;房地产开发;数字孪生;新型城镇化;智慧城市;机器人概念;标准普尔;深圳特区;深股通;破净股;租售同权;粤港自贸;红利破净股;红利股;融资融券;长期破净,房地产开发
000157,中联重科,AH股;HS300_;MSCI中国;一带一路;乡村振兴;人工智能;人形机器人;参股银行;富时罗素;工业互联;工程机械;工程机械整机;工程机械概念;机构重仓;机械设备;标准普尔;深成500;深股通;深证100R;湖南板块;算力概念;节能环保;融资融券;证金持股;雅下水电概念,工程机械
000333,美的集团,AH股;HS300_;MSCI中国;人形机器人;价值股;净水概念;医疗器械概念;参股银行;国产芯片;央视50_;家用电器;工业互联;广东板块;数据中心;新能源车;智能家居;机构重仓;标准普尔;液冷概念;深成500;深股通;深证100R;物联网;白色家电;空气能热泵;空调;股权激励;茅指数;融资融券;证金持股;超级品牌;鸿蒙概念,白色家电
000400,许继电气,MSCI中国;一带一路;中证500;储能概念;充电桩;光伏概念;央国企改革;富时罗素;抽水蓄能;换电概念;无线充电;智能电网;标准普尔;氢能源;河南板块;深成500;深股通;特高压;电力设备;电网概念;电网自动化设备;电网设备;融资融券,电网设备
000404,长虹华意,央国企改革;家用电器;家电零部件Ⅱ;家电零部件Ⅲ;新能源车;智能家居;江西板块;汽车热管理;深股通;病毒防治;节能环保;融资融券;贬值受益,家电零部件Ⅱ
000408,藏格矿业,HS300_;MSCI中国;农化制品;反内卷概念;基础化工;央国企改革;小金属概念;机构重仓;深成500;深股通;深证100R;电池技术;融资融券;西部大开发;钾肥;锂电池概念;锂矿概念;青海板块,农化制品
000423,东阿阿胶,MSCI中国;中药Ⅱ;中药Ⅲ;中药概念;中证500;创投;医药生物;央国企改革;央视50_;富时罗素;山东板块;机构重仓;标准普尔;深成500;深股通;电商概念;融资融券;超级品牌,中药Ⅱ
000429,粤高速A,AB股;中证500;交通运输;价值股;参股券商;央国企改革;广东板块;机构重仓;标准普尔;深成500;深股通;粤港自贸;红利股;融资融券;铁路公路;高速公路,铁路公路
000513,丽珠集团,AH股;MSCI中国;中药概念;中证500;减肥药;创新药;化学制剂;化学制药;医药生物;单抗概念;基因测序;富时罗素;幽门螺杆菌概念;广东板块;标准普尔;流感;深成500;深股通;生物疫苗;病原体防治;痘病毒防治;精准医疗;融资融券;辅助生殖;重组蛋白,化学制药
000543,皖能电力,IPO受益;充电桩;公用事业;参股券商;参股银行;可控核聚变;天然气;央国企改革;安徽板块;富时罗素;小盘股;抽水蓄能;新能源;标准普尔;核能核电;油气资源;深成500;深股通;火力发电;煤化工概念;电力;碳交易;融资融券;超超临界发电;风能,电力
000563,陕国投A,中证500;信托;化债(AMC)概念;参股保险;参股券商;多元金融;央国企改革;富时罗素;标准普尔;深成500;深股通;破净股;融资融券;西部大开发;证金持股;陕西板块;非银金融,多元金融
000568,泸州老窖,HS300_;IPO受益;MSCI中国;价值股;农业种植;参股券商;味蕾经济;四川板块;基金重仓;央国企改革;富时罗素;成渝特区;机构重仓;标准普尔;深成500;深股通;深证100R;白酒;白酒Ⅱ;白酒Ⅲ;百元股;茅指数;融资融券;西部大开发;证金持股;超级品牌;酿酒概念;食品饮料,白酒Ⅱ
000596,古井贡酒,AB股;HS300_;MSCI中国;味蕾经济;央国企改革;央视50_;安徽板块;富时罗素;机构重仓;标准普尔;深成500;深股通;深证100R;白酒;白酒Ⅱ;白酒Ⅲ;百元股;融资融券;酿酒概念;食品饮料,白酒Ⅱ
000651,格力电器,HS300_;MSCI中国;价值股;储能概念;光伏概念;净水概念;国产芯片;央视50_;家用电器;工业母机;广东板块;新能源车;新零售;智能家居;机器人概念;机构重仓;标准普尔;深成500;深股通;深证100R;特斯拉;电池技术;白色家电;空气能热泵;空调;粤港自贸;红利股;职业教育;茅指数;融资融券;证金持股;超级品牌;锂电池概念,白色家电
000672,上峰水泥,一带一路;价值股;储能概念;光伏概念;养老金;反内卷概念;国产芯片;富时罗素;小盘股;建筑材料;水泥;水泥制造;深股通;甘肃板块;融资融券;西部大开发,水泥
000729,燕京啤酒,MSCI中国;中证500;创投;北京板块;味蕾经济;啤酒;啤酒概念;央国企改革;富时罗素;标准普尔;深成500;深股通;融资融券;酿酒概念;非白酒;食品饮料,非白酒
000786,北新建材,HS300_;IPO受益;MSCI中国;其他建材Ⅲ;北京板块;参股新三板;周期股;央国企改革;富时罗素;建筑材料;新材料;新能源;标准普尔;深成500;深股通;深证100R;融资融券;装修建材;装配建筑;雄安新区,装修建材
000807,云铝股份,HS300_;MSCI中国;云南板块;央国企改革;富时罗素;工业金属;新能源车;有色金属;标准普尔;深成500;深股通;燃料电池概念;电池技术;稀缺资源;节能环保;融资融券;西部大开发;铝,工业金属
000858,五 粮 液,HS300_;MSCI中国;参股银行;味蕾经济;四川板块;央国企改革;富时罗素;成渝特区;新零售;机构重仓;标准普尔;深成500;深股通;深证100R;电商概念;白酒;白酒Ⅱ;白酒Ⅲ;百元股;茅指数;融资融券;西部大开发;证金持股;超级品牌;酿酒概念;食品饮料,白酒Ⅱ
000895,双汇发展,HS300_;MSCI中国;人造肉;味蕾经济;央视50_;富时罗素;新零售;机构重仓;标准普尔;河南板块;深成500;深股通;深证100R;猪肉概念;社区团购;红利股;肉制品;融资融券;证金持股;超级品牌;预制菜概念;食品加工;食品饮料;鸡肉概念,食品加工
000915,华特达因,价值股;化学制剂;化学制药;医药生物;央国企改革;婴童概念;富时罗素;山东板块;流感;消毒剂;深股通;维生素;融资融券,化学制药
000933,神火股份,MSCI中国;中证500;央国企改革;富时罗素;工业金属;有色金属;机构重仓;标准普尔;河南板块;深成500;深股通;煤化工概念;稀缺资源;融资融券;铝,工业金属
000975,山金国际,2025中报预增;HS300_;MSCI中国;内蒙古;央国企改革;富时罗素;小金属概念;有色金属;标准普尔;深成500;深股通;深证100R;融资融券;西部大开发;贵金属;黄金;黄金概念,贵金属
000983,山西焦煤,HS300_;MSCI中国;反内卷概念;央国企改革;富时罗素;山西板块;机构重仓;标准普尔;深成500;深股通;焦煤;煤炭;煤炭开采;稀缺资源;红利股;融资融券,煤炭开采
000988,华工科技,2025中报预增;3D打印;3D玻璃;5G概念;CPO概念;DeepSeek概念;F5G概念;IPO受益;MSCI中国;东方财富热股;传感器;充电桩;光通信模块;全息技术;创投;半导体概念;华为概念;央国企改革;富时罗素;工业母机;新材料;新能源车;智能家居;机器人概念;机械设备;柔性屏(折叠屏);标准普尔;深成500;深股通;湖北板块;湖北自贸;激光设备;物联网;特斯拉;玻璃基板;百元股;移动支付;自动化设备;苹果概念;蓝宝石;融资融券;通信技术;量子科技;高压快充,自动化设备
000999,华润三九,HS300_;MSCI中国;中特估;中药Ⅱ;中药Ⅲ;中药概念;创新药;化妆品概念;医药生物;央国企改革;婴童概念;富时罗素;广东板块;标准普尔;流感;深圳特区;深成500;深股通;深证100R;特色药;独家药品;电商概念;病原体防治;病毒防治;维生素;融资融券,中药Ⅱ
001206,依依股份,个护用品;天津板块;婴童概念;宠物经济;新消费;生活用纸;电商概念;美容护理;贬值受益,个护用品
001338,永顺泰,其他农产品加工;农产品加工;农林牧渔;啤酒概念;央国企改革;广东板块;机构重仓;深股通,农产品加工
002017,东信和平,5G概念;信创;央国企改革;富时罗素;小盘股;广东板块;数字货币;数据安全;深股通;物联网;电商概念;移动支付;网络安全;融资融券;车联网(车路云);通信;通信技术;通信终端及配件;通信设备,通信设备
002028,思源电气,HS300_;MSCI中国;QFII重仓;上海板块;储能概念;充电桩;光伏概念;半导体概念;周期股;富时罗素;新能源;智能电网;标准普尔;深成500;深股通;深证100R;特高压;电力设备;电网概念;电网设备;百元股;磁悬浮概念;融资融券;超级电容;输变电设备;长江三角;风能,电网设备
002043,兔宝宝,其他建材Ⅲ;养老金;富时罗素;小盘股;建筑材料;智能家居;浙江板块;深股通;电商概念;红利股;融资融券;装修建材;长江三角,装修建材
002046,国机精工,中芯概念;军工;半导体概念;商业航天;国产芯片;培育钻石;央国企改革;小盘股;机器人执行器;机器人概念;机械设备;河南板块;深股通;磨具磨料;空间站概念;融资融券;通用设备;风能,通用设备
002056,横店东磁,2025三季报预增;2025中报预增;5G概念;BC电池;MSCI中国;TOPCon电池;中证500;价值股;低空经济;光伏概念;光伏电池组件;光伏设备;共享经济;军工;华为概念;富时罗素;小金属概念;工业互联;新材料;新能源;新能源车;无线充电;标准普尔;氢能源;浙江板块;消费电子概念;深成500;深股通;特斯拉;电力设备;电池技术;磁悬浮概念;稀土永磁;苹果概念;融资融券;通信技术;锂电池概念;长江三角,光伏设备
002078,太阳纸业,MSCI中国;中证500;代糖概念;养老金;大宗用纸;富时罗素;山东板块;标准普尔;深成500;深股通;融资融券;轻工制造;造纸;造纸印刷,造纸
002096,易普力,IPO受益;军工;军民融合;基建市政工程;基础建设;央国企改革;小盘股;建筑装饰;民爆概念;深成500;深股通;湖南板块;雅下水电概念,基础建设
002117,东港股份,DeepSeek概念;Web3.0;人形机器人;包装印刷;区块链;印刷;大数据;富时罗素;山东板块;彩票概念;拼多多概念;数据确权;文娱消费;机器人概念;深股通;移动支付;算力概念;蚂蚁概念;融资融券;财税数字化;轻工制造;造纸印刷,包装印刷
002154,报喜鸟,C2M概念;创投;数据要素;服装家纺;浙江板块;深股通;电商概念;红利股;纺织服饰;网红经济;融资融券;长江三角;非运动服装,服装家纺
002158,汉钟精机,上海板块;专精特新;光伏概念;养老金;冷链物流;制冷空调设备;半导体概念;地热能;富时罗素;小盘股;工业互联;数据中心;新能源车;机械设备;氢能源;深股通;燃料电池概念;电池技术;空气能热泵;节能环保;融资融券;通用设备;长江三角,通用设备
002179,中航光电,5G概念;6G概念;HS300_;MSCI中国;充电桩;军工;军工电子Ⅱ;军工电子Ⅲ;军民融合;北交所概念;华为概念;可控核聚变;周期股;商业航天;国防军工;大飞机;央国企改革;富时罗素;换电概念;新能源车;机器人概念;标准普尔;河南板块;液冷概念;深成500;深股通;深证100R;特斯拉;融资融券;通信技术,军工电子Ⅱ
002192,融捷股份,储能概念;反内卷概念;小盘股;广东板块;有色金属;标准普尔;深股通;电池技术;稀缺资源;能源金属;融资融券;锂;锂电池概念;锂矿概念,能源金属
002233,塔牌集团,2025中报预增;举牌;创投;反内卷概念;富时罗素;小盘股;广东板块;建筑材料;标准普尔;水泥;水泥制造;深股通;破净股;粤港自贸;红利破净股;红利股;融资融券,水泥
002262,恩华药业,MSCI中国;中证500;互联医疗;创新药;化学制剂;化学制药;医药生物;富时罗素;标准普尔;江苏板块;深成500;深股通;痘病毒防治;精准医疗;精准诊断;融资融券;长江三角;阿兹海默,化学制药
002267,陕天然气,公用事业;天然气;央国企改革;富时罗素;小盘股;标准普尔;油气资源;深股通;燃气Ⅱ;燃气Ⅲ;融资融券;西部大开发;证金持股;陕西板块,燃气Ⅱ
002318,久立特材,中证500;养老金;富时罗素;新材料;标准普尔;核能核电;油气资源;浙江板块;深成500;深股通;特钢Ⅱ;特钢Ⅲ;航母概念;融资融券;超超临界发电;钢铁;长江三角;页岩气,特钢Ⅱ
002353,杰瑞股份,MSCI中国;一带一路;专用设备;中俄贸易概念;中证500;动力电池回收;天然气;富时罗素;山东板块;机械设备;标准普尔;油气设服;油气资源;海工装备;深成500;深股通;百元股;能源及重型设备;融资融券;页岩气,专用设备
002371,北方华创,HS300_;MSCI中国;OLED;中芯概念;光伏概念;光刻机(胶);北京板块;半导体;半导体概念;半导体设备;华为概念;华为海思;国产芯片;央国企改革;宁组合;富时罗素;标准普尔;氮化镓;深成500;深股通;深证100R;电子;电池技术;百元股;第三代半导体;茅指数;融资融券;锂电池概念;高带宽内存,半导体
002409,雅克科技,MSCI中国;OLED;专精特新;中芯概念;中证500;光刻机(胶);半导体;半导体材料;半导体概念;国产芯片;存储芯片;富时罗素;工业气体;标准普尔;氟化工概念;江苏板块;深成500;深股通;电子;磷化工;融资融券;高带宽内存,半导体
002415,海康威视,AI应用;HS300_;MSCI中国;中特估;云计算;人工智能;大数据;央国企改革;央视50_;安防概念;安防设备;无人机;无人驾驶;智慧城市;机器人概念;标准普尔;浙江板块;深成500;深股通;深证100R;物联网;生物识别;茅指数;虚拟现实;融资融券;计算机;计算机设备;证金持股;超清视频;车联网(车路云);边缘计算;长江三角,计算机设备
002416,爱施德,专业连锁Ⅱ;专业连锁Ⅲ;互联网金融;内贸流通;区块链;参股保险;商贸零售;富时罗素;小盘股;广东板块;新消费;新零售;标准普尔;深圳特区;深成500;深股通;物联网;电子烟;电池技术;算力概念;网红经济;苹果概念;荣耀概念;融资融券;锂电池概念;阿里概念,专业连锁Ⅱ
002532,天山铝业,MSCI中国;中证500;价值股;富时罗素;工业金属;新疆板块;有色金属;深成500;深股通;融资融券;铝,工业金属
002540,亚太科技,3D打印;军工;商业航天;工业金属;新能源车;有色金属;江苏板块;汽车热管理;深股通;红利股;转债标的;铝,工业金属
002555,三七互娱,AI应用;Kimi概念;MSCI中国;人脑工程;价值股;传媒;元宇宙概念;创投;华为概念;参股新三板;在线教育;安徽板块;富时罗素;文娱消费;智谱AI;标准普尔;深成500;深股通;游戏Ⅱ;游戏Ⅲ;网红经济;网络游戏;虚拟现实;融资融券,游戏Ⅱ
002563,森马服饰,婴童概念;富时罗素;小盘股;新零售;服装家纺;标准普尔;浙江板块;深成500;深股通;电商概念;社区团购;红利股;纺织服饰;网红经济;融资融券;非运动服装,服装家纺
002572,索菲亚,价值股;参股券商;定制家居;家居用品;富时罗素;小盘股;广东板块;新零售;标准普尔;深成500;深股通;电商概念;虚拟现实;融资融券;轻工制造,家居用品
002601,龙佰集团,HS300_;MSCI中国;养老概念;化学原料;固态电池;基础化工;富时罗素;标准普尔;氢能源;河南板块;深成500;深股通;深证100R;电池技术;红利股;融资融券;钒电池;钛白粉;钛白粉概念;锂电池概念,化学原料
002690,美亚光电,专用设备;其他专用设备;养老金;医疗器械概念;安徽板块;富时罗素;小盘股;工业互联;机器视觉;机械设备;标准普尔;深成500;深股通;融资融券;食品安全,专用设备
002737,葵花药业,2025中报预减;中药Ⅱ;中药Ⅲ;中药概念;创新药;医药生物;婴童概念;富时罗素;小盘股;标准普尔;流感;深股通;肝炎概念;融资融券;黑龙江,中药Ⅱ
002756,永兴材料,中证500;养老金;反内卷概念;富时罗素;有色金属;核能核电;浙江板块;深成500;深股通;电池技术;股权激励;能源金属;航天航空;融资融券;锂;锂电池概念;锂矿概念,能源金属
002850,科达利,MSCI中国;PEEK材料概念;中证500;人形机器人;固态电池;富时罗素;广东板块;新能源车;机器人概念;深圳特区;深成500;深股通;特斯拉;电力设备;电池;电池技术;百元股;融资融券;转债标的;锂电池;锂电池概念,电池
002867,周大生,富时罗素;小盘股;广东板块;标准普尔;深圳特区;深成500;深股通;电商概念;纺织服饰;融资融券;钟表珠宝;饰品;黄金概念,饰品
002895,川恒股份,2025中报预增;养老金;农化制品;基础化工;小盘股;机构重仓;深股通;磷化工;磷肥及磷化工;融资融券;西部大开发;贵州板块,农化制品
002959,小熊电器,厨房小家电;婴童概念;家用电器;富时罗素;小家电;广东板块;机构重仓;深股通;电商概念;融资融券;跨境电商;转债标的,小家电
300009,安科生物,AI制药（医疗）;CAR-T细胞疗法;中药概念;人工智能;免疫治疗;其他生物制品;创业板综;创新药;医疗器械概念;医美概念;医药生物;单抗概念;安徽板块;富时罗素;小盘股;新消费;深成500;深股通;生物制品;病原体防治;病毒防治;精准医疗;肝炎概念;融资融券;辅助生殖,生物制品
300015,爱尔眼科,HS300_;MSCI中国;互联医疗;养老概念;创业成份;创业板综;创新医疗服务;医疗器械概念;医疗服务;医美概念;医药生物;医院;宁组合;富时罗素;深成500;深股通;深证100R;湖南板块;茅指数;融资融券,医疗服务
300033,同花顺,AIGC概念;AI应用;ChatGPT概念;HS300_;MSCI中国;云计算;互联网金融;人工智能;创业成份;创业板综;券商概念;区块链;国产软件;垂直应用软件;大数据;富时罗素;数据要素;机构重仓;浙江板块;深成500;深股通;深证100R;百元股;虚拟机器人;融资融券;计算机;证金持股;软件开发;长江三角;鸿蒙概念,软件开发
300092,科新机电,专用设备;中俄贸易概念;军工;创业板综;四川板块;机构重仓;机械设备;核污染防治;核能核电;氢能源;能源及重型设备;西部大开发,专用设备
300127,银河磁体,创业板综;华为概念;四川板块;小盘股;新材料;新能源车;有色金属;深股通;特斯拉;磁性材料;稀土永磁;西部大开发;金属新材料,金属新材料
300346,南大光电,LED概念;MSCI中国;OLED;专精特新;中芯概念;中证500;光刻机(胶);创业成份;创业板综;半导体概念;富时罗素;工业气体;新材料;机构重仓;氟化工概念;氮化镓;江苏板块;深成500;深股通;电子;电子化学品Ⅱ;电子化学品Ⅲ;第四代半导体;股权激励;融资融券,电子化学品Ⅱ
300373,扬杰科技,5G概念;IGBT概念;MSCI中国;中芯概念;中证500;储能概念;充电桩;光伏概念;分立器件;创业成份;创业板综;半导体;半导体概念;华为概念;国产芯片;富时罗素;小米汽车;氮化镓;江苏板块;汽车芯片;深成500;深股通;电子;碳化硅;第三代半导体;英伟达概念;融资融券;通信技术,半导体
300384,三联虹普,AI应用;AI智能体;专业工程;互联网金融;创业板综;创投;化学工程;北京板块;华为昇腾;华为概念;垃圾分类;大数据;工业互联;建筑装饰;深股通;降解塑料,专业工程
300628,亿联网络,HS300_;MSCI中国;信创;创业成份;创业板综;富时罗素;深成500;深股通;深证100R;福建板块;股权激励;融资融券;超清视频;远程办公;通信;通信终端及配件;通信设备,通信设备
300684,中石科技,2025三季报预增;2025中报预增;5G概念;AI手机;创业板综;北京板块;华为概念;数据中心;新材料;柔性屏(折叠屏);毫米波概念;汽车热管理;液冷概念;深股通;电子;电子化学品Ⅱ;电子化学品Ⅲ;石墨烯;苹果概念;虚拟现实;通信技术,电子化学品Ⅱ
300693,盛弘股份,专精特新;储能概念;充电桩;其他电源设备Ⅱ;其他电源设备Ⅲ;养老金;创业板综;小盘股;广东板块;数据中心;深圳特区;深股通;电力设备;融资融券;高压快充,其他电源设备Ⅱ
300705,九典制药,创业板综;创新药;化学制剂;化学制药;医药生物;小盘股;深股通;湖南板块;维生素;转债标的,化学制药
300750,宁德时代,AH股;HS300_;MSCI中国;储能概念;创业成份;创业板综;动力电池回收;华为概念;周期股;固态电池;基金重仓;宁组合;富时罗素;小米汽车;新能源车;深成500;深股通;深证100R;特斯拉;电力设备;电池;电池技术;百元股;福建板块;茅指数;蚂蚁概念;融资融券;钠离子电池;锂电池;锂电池概念;锂矿概念;麒麟电池,电池
300841,康华生物,专精特新;创业板综;医药生物;四川板块;宠物经济;小盘股;新消费;深股通;生物制品;生物疫苗;疫苗;病原体防治;病毒防治;融资融券;西部大开发,生物制品
300957,贝泰妮,QFII重仓;中证500;云南板块;创业成份;创业板综;化妆品;化妆品概念;医疗器械概念;医美概念;品牌化妆品;婴童概念;小红书概念;深成500;深股通;电商概念;美容护理;融资融券;西部大开发;跨境电商;零售概念,化妆品
301031,中熔电气,2025中报预增;专精特新;储能概念;充电桩;其他电子Ⅱ;其他电子Ⅲ;创业板综;华为概念;华为汽车;小盘股;数据中心;新能源车;深股通;特斯拉;电子;百元股;融资融券;西部大开发;陕西板块;高压快充,其他电子Ⅱ
301061,匠心家居,2025中报预增;创业板综;家居用品;小盘股;成品家居;智能家居;江苏板块;深股通;融资融券;贬值受益;轻工制造,家居用品
301109,军信股份,一带一路;创业板综;固废治理;垃圾分类;小盘股;新型城镇化;深股通;湖南板块;环保;环境治理;绿色电力;节能环保;融资融券,环境治理
600012,皖通高速,AH股;上证380;交通运输;参股新三板;央国企改革;安徽板块;富时罗素;小盘股;机构重仓;标准普尔;沪股通;红利股;融资融券;铁路公路;高速公路,铁路公路
600015,华夏银行,HS300_;MSCI中国;上证180_;互联网金融;价值股;北京板块;富时罗素;机构重仓;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;蚂蚁概念;融资融券;证金持股;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ
600016,民生银行,AH股;HS300_;MSCI中国;上证180_;互联网金融;价值股;北京板块;参股券商;央视50_;富时罗素;标准普尔;沪股通;破净股;红利破净股;红利股;股份制银行Ⅲ;融资融券;跨境支付;银行;银行Ⅱ;长期破净,银行Ⅱ
600028,中国石化,AH股;HS300_;MSCI中国;一带一路;上证180_;上证50_;中字头;中特估;北京板块;周期股;天然气;央国企改革;富时罗素;机构重仓;标准普尔;氢能源;沪股通;油气资源;炼化及贸易;炼油化工;石油石化;破净股;碳交易;红利破净股;红利股;融资融券;证金持股;页岩气,炼化及贸易
600036,招商银行,AH股;HS300_;MSCI中国;上证180_;上证50_;互联网金融;央视50_;富时罗素;广东板块;机构重仓;标准普尔;沪股通;深圳特区;破净股;股份制银行Ⅲ;茅指数;融资融券;证金持股;跨境支付;银行;银行Ⅱ,银行Ⅱ
600039,四川路桥,HS300_;MSCI中国;PPP模式;一带一路;上证180_;举牌;四川板块;基建市政工程;基础建设;央国企改革;富时罗素;工程建设;建筑装饰;成渝特区;标准普尔;沪股通;电池技术;碳交易;磷化工;红利股;融资融券;西部大开发;锂电池概念;雅下水电概念,基础建设
600057,厦门象屿,一带一路;上证380;交通运输;价值股;农业种植;冷链物流;原材料供应链服务;参股银行;土地流转;央国企改革;富时罗素;小盘股;数据要素;沪股通;物流;福建板块;红利股;股权激励;融资融券,物流
600064,南京高科,IPO受益;上证380;住宅开发;创投;参股券商;参股新三板;参股银行;央国企改革;小盘股;房地产;房地产开发;江苏板块;沪股通;破净股;红利破净股;红利股;融资融券;证金持股;长期破净;长江三角,房地产开发
600096,云天化,MSCI中国;一带一路;上证380;中证500;云南板块;价值股;农化制品;化工原料;基础化工;央国企改革;新材料;机构重仓;氟化工概念;沪股通;煤化工概念;电池技术;碳交易;磷化工;磷肥及磷化工;融资融券;西部大开发;锂电池概念,农化制品
600123,兰花科创,2025中报预减;上证380;反内卷概念;央国企改革;小盘股;山西板块;微利股;新材料;标准普尔;沪股通;焦煤;煤化工概念;煤炭;煤炭开采;破净股;稀缺资源;红利破净股;红利股;融资融券;长期破净,煤炭开采
600153,建发股份,MSCI中国;上证380;中证500;交通运输;养老金;内贸流通;原材料供应链服务;央国企改革;富时罗素;小米汽车;标准普尔;沪股通;物流;电商概念;白酒;破净股;福建板块;红利破净股;红利股;融资融券;长期破净,物流
600177,雅戈尔,C2M概念;MSCI中国;上证380;中证500;互联网金融;养老概念;参股保险;参股银行;富时罗素;工业大麻;服装家纺;机构重仓;沪股通;浙江板块;电商概念;破净股;红利破净股;红利股;纺织服饰;融资融券;证金持股;长期破净;非运动服装,服装家纺
600188,兖矿能源,AH股;HS300_;MSCI中国;上证180_;东方财富热股;动力煤;参股期货;参股银行;反内卷概念;周期股;央国企改革;富时罗素;山东板块;标准普尔;沪股通;煤化工概念;煤炭;煤炭开采;稀缺资源;红利股;融资融券,煤炭开采
600210,紫江企业,2025三季报预增;上海板块;上证380;低空经济;刀片电池;创投;包装印刷;包装材料;固态电池;塑料包装;大飞机;富时罗素;小盘股;标准普尔;毫米波概念;沪股通;电池技术;融资融券;轻工制造;锂电池概念;长江三角;降解塑料;飞行汽车(eVTOL),包装印刷
600256,广汇能源,MSCI中国;一带一路;上证380;东方财富热股;天然气;富时罗素;新疆板块;机构重仓;标准普尔;氢能源;沪股通;油品石化贸易;油气资源;炼化及贸易;煤化工概念;石油石化;碳交易;融资融券;西部大开发,炼化及贸易
600273,嘉化能源,上证380;光伏概念;其他化学制品;化学制品;基础化工;小盘股;新材料;新能源;标准普尔;氢能源;沪股通;浙江板块;消毒剂;红利股;融资融券;长江三角,化学制品
600282,南钢股份,C2M概念;MSCI中国;一带一路;上证380;中证500;人工智能;人形机器人;价值股;创投;化债(AMC)概念;参股新三板;反内卷概念;可燃冰;富时罗素;工业互联;工程机械概念;普钢;板材;标准普尔;核能核电;水利建设;江苏板块;沪股通;油气设服;油气资源;海洋经济;红利股;节能环保;融资融券;贬值受益;钢铁;长江三角;风能,普钢
600284,浦东建设,上海板块;上海自贸;创投;基建市政工程;基础建设;央国企改革;富时罗素;工程建设;建筑装饰;机构重仓;标准普尔;沪股通;破净股;节能环保;融资融券;证金持股;长江三角,基础建设
600285,羚锐制药,IPO受益;上证380;中药Ⅱ;中药Ⅲ;中药概念;养老金;创新药;医药生物;参股银行;小盘股;标准普尔;沪股通;河南板块;融资融券,中药Ⅱ
600295,鄂尔多斯,AB股;上证380;中证500;价值股;内蒙古;冶钢原料;冶钢辅料;创投;小金属概念;标准普尔;沪股通;红利股;融资融券;西部大开发;钢铁,冶钢原料
600300,维维股份,乳业;价值股;创投;参股银行;央国企改革;婴童概念;抖音小店;江苏板块;沪股通;生态农业;电商概念;粮食概念;软饮料;长江三角;食品饮料;饮料乳品,饮料乳品
600323,瀚蓝环境,PPP模式;上证380;养老金;创投;固废治理;垃圾分类;天然气;央国企改革;富时罗素;小盘股;广东板块;标准普尔;沪股通;油气资源;环保;环境治理;节能环保;融资融券,环境治理
600348,华阳股份,MSCI中国;上证380;中证500;储能概念;光伏概念;动力煤;反内卷概念;天然气;央国企改革;富时罗素;山西板块;机构重仓;标准普尔;沪股通;油气资源;煤化工概念;煤炭;煤炭开采;电池技术;碳纤维;稀缺资源;红利股;融资融券;超超临界发电;钠离子电池,煤炭开采
600350,山东高速,上证180_;交通运输;参股银行;央国企改革;富时罗素;山东板块;机构重仓;标准普尔;沪股通;红利股;股权激励;融资融券;铁路公路;高速公路,铁路公路
