股票代码,股票名称,交易所,来源指数,申万一级行业,申万二级行业,申万三级行业,2025年平均价,2025年分红(元/股),2025年分红次数,2025年股息率(%),2024年平均价,2024年分红(元/股),2024年分红次数,2024年股息率(%),2023年平均价,2023年分红(元/股),2023年分红次数,2023年股息率(%),近3年平均股价,3年平均股息率(%),2025Q1平均价,2025Q1分红(元/股),2025Q1股息率(%),2025Q2平均价,2025Q2分红(元/股),2025Q2股息率(%),2025Q3平均价,2025Q3分红(元/股),2025Q3股息率(%),2025Q4平均价,2025Q4分红(元/股),2025Q4股息率(%),2025年最高价,2025年最低价,2025年最高涨幅(%),2025年最低跌幅(%)
601101,昊华能源,沪市主板,中证红利,煤炭,煤炭开采,动力煤,7.44,0.46,1,6.15,8.37,0.35,1,4.18,6.18,0.34,1,5.5,7.33,5.28,7.56,-,-,7.18,-,-,7.43,0.46,6.17,7.61,-,-,8.27,6.64,11.09,10.8
600546,山煤国际,沪市主板,中证红利,煤炭,煤炭开采,动力煤,10.23,0.69,1,6.74,14.57,0.65,1,4.46,16.15,1.8,1,11.15,13.65,7.45,10.97,-,-,9.53,0.69,7.24,9.77,-,-,10.75,-,-,11.78,8.56,15.13,16.34
601336,新华保险,沪市主板,红利质量,非银金融,保险Ⅱ,保险Ⅲ,58.11,2.66,2,4.58,36.03,1.39,2,3.86,35.37,1.08,1,3.05,43.17,3.83,48.7,-,-,51.72,-,-,63.24,1.99,3.15,67.78,0.67,0.99,72.71,44.85,25.13,22.81
2572,索菲亚,深市主板,中证红利,轻工制造,家居用品,定制家居,14.64,1.0,1,6.83,16.22,1.0,1,6.16,18.52,0.7,1,3.78,16.46,5.59,16.46,-,-,15.08,1.0,6.63,13.76,-,-,13.45,-,-,18.3,12.51,24.98,14.56
672,上峰水泥,深市主板,中证红利,建筑材料,水泥,水泥制造,8.92,0.63,1,7.07,7.23,0.4,1,5.53,10.23,0.35,1,3.42,8.79,5.34,7.39,-,-,8.21,0.63,7.67,8.95,-,-,11.03,-,-,12.99,6.99,45.69,21.6
601225,陕西煤业,沪市主板,中证红利,煤炭,煤炭开采,动力煤,20.9,1.28,3,6.11,24.74,1.42,2,5.76,18.61,2.18,1,11.71,21.42,7.86,20.64,0.1,0.5,19.99,1.14,5.68,20.45,0.04,0.19,22.55,-,-,24.68,18.72,18.09,10.43
601216,君正集团,沪市主板,中证红利,基础化工,化学原料,氯碱,5.36,0.15,1,2.8,4.12,0.32,1,7.76,4.22,0.18,1,4.27,4.57,4.94,5.6,-,-,5.38,0.15,2.79,5.44,-,-,5.03,-,-,6.42,4.67,19.75,12.89
2371,北方华创,深市主板,红利增长,电子,半导体,半导体设备,410.64,1.06,1,0.26,325.18,0.78,1,0.24,266.71,0.45,1,0.17,334.18,0.22,418.37,-,-,436.83,-,-,362.81,1.06,0.29,429.73,-,-,481.42,318.6,17.24,22.41
600057,厦门象屿,沪市主板,中证红利,交通运输,物流,原材料供应链服务,7.06,0.35,2,4.95,6.34,0.3,1,4.73,8.75,0.61,1,6.97,7.39,5.55,6.01,-,-,6.63,0.25,3.77,7.23,-,-,8.32,0.1,1.2,9.11,5.59,28.95,20.88
2690,美亚光电,深市主板,中证红利质量,机械设备,专用设备,其他专用设备,17.8,0.7,1,3.93,16.36,0.7,1,4.28,24.26,0.7,1,2.89,19.47,3.7,15.16,-,-,17.12,0.7,4.09,18.38,-,-,20.34,-,-,21.99,13.66,23.54,23.26
603444,吉比特,沪市主板,红利质量,传媒,游戏Ⅱ,游戏Ⅲ,339.06,16.1,3,4.75,197.81,6.5,2,3.29,396.48,10.0,2,2.52,311.12,3.52,220.94,-,-,245.93,3.5,1.42,420.67,6.6,1.57,454.63,6.0,1.32,662.01,202.0,95.25,40.42
603040,新坐标,沪市主板,"中证红利质量, 红利质量",汽车,汽车零部件,底盘与发动机系统,50.01,1.25,4,2.5,21.1,0.6,2,2.84,22.76,0.5,2,2.2,31.29,2.51,27.6,0.1,0.36,35.48,0.6,1.69,57.4,0.3,0.52,77.69,0.25,0.32,91.99,21.47,83.96,57.07
601001,晋控煤业,沪市主板,中证红利,煤炭,煤炭开采,动力煤,13.15,0.76,1,5.74,15.19,0.79,1,5.2,11.11,0.63,1,5.67,13.15,5.54,12.43,-,-,11.77,-,-,13.52,0.76,5.59,14.81,-,-,16.56,10.89,25.94,17.18
2756,永兴材料,深市主板,中证红利,有色金属,能源金属,锂,37.24,0.8,2,2.15,42.29,2.5,2,5.91,66.41,6.0,2,9.03,48.65,5.7,36.47,-,-,30.95,0.5,1.62,35.12,-,-,46.58,0.3,0.64,56.28,29.67,51.15,20.32
603508,思维列控,沪市主板,中证红利质量,计算机,计算机设备,安防设备,27.72,3.29,2,11.86,19.69,1.01,2,5.11,16.74,0.55,1,3.26,21.39,6.74,23.68,-,-,25.7,1.19,4.62,31.69,2.1,6.63,29.3,-,-,37.16,21.02,34.04,24.18
333,美的集团,深市主板,中证红利质量,家用电器,白色家电,空调,74.56,4.0,2,5.36,66.18,3.0,1,4.53,54.63,2.5,1,4.58,65.13,4.82,73.49,-,-,74.1,3.5,4.72,73.2,-,-,77.53,0.5,0.64,82.23,67.18,10.29,9.9
2867,周大生,深市主板,"中证红利, 中证红利质量",纺织服饰,饰品,钟表珠宝,13.27,0.9,2,6.78,14.51,0.95,2,6.55,16.17,0.9,2,5.57,14.65,6.3,13.0,-,-,13.7,0.65,4.74,13.42,-,-,12.95,0.25,1.93,16.34,11.91,23.1,10.28
601900,南方传媒,沪市主板,红利质量,传媒,出版,教育出版,14.84,0.55,1,3.71,13.5,0.54,1,4.0,15.41,0.47,1,3.05,14.58,3.59,15.16,-,-,16.17,-,-,14.26,0.55,3.86,13.85,-,-,17.61,12.62,18.66,14.96
2737,葵花药业,深市主板,中证红利,医药生物,中药Ⅱ,中药Ⅲ,16.37,0.5,1,3.06,23.93,1.5,1,6.27,24.43,1.0,1,4.09,21.58,4.47,18.49,-,-,16.21,-,-,15.93,0.5,3.14,14.98,-,-,21.39,14.43,30.7,11.83
2416,爱施德,深市主板,中证红利,商贸零售,专业连锁Ⅱ,专业连锁Ⅲ,12.38,0.5,1,4.04,10.96,0.4,1,3.65,8.36,0.5,1,5.98,10.57,4.56,13.53,-,-,11.62,0.5,4.3,12.25,-,-,12.21,-,-,17.1,10.87,38.09,12.22
601598,中国外运,沪市主板,中证红利,交通运输,物流,跨境物流,5.53,0.29,2,5.24,5.43,0.29,2,5.34,4.61,0.24,2,5.32,5.19,5.3,5.14,-,-,4.92,-,-,5.74,0.14,2.53,6.3,0.14,2.3,7.8,4.64,40.93,16.17
603611,诺力股份,沪市主板,红利质量,机械设备,工程机械,工程机械整机,21.67,0.9,1,4.14,17.86,0.62,1,3.48,21.04,0.55,1,2.61,20.19,3.41,18.61,-,-,19.15,0.9,4.68,24.66,-,-,23.82,-,-,28.94,15.23,33.54,29.72
603929,亚翔集成,沪市主板,红利质量,建筑装饰,专业工程,其他专业工程,40.61,2.0,2,4.93,23.8,1.0,1,4.2,17.85,0.25,1,1.4,27.42,3.51,31.61,-,-,29.58,1.0,3.38,38.6,1.0,2.59,62.4,-,-,108.31,25.43,166.71,37.38
600919,江苏银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,10.54,0.52,2,4.94,8.04,0.47,1,5.84,7.15,0.49,1,6.86,8.58,5.88,9.47,0.31,3.23,10.68,-,-,11.2,0.21,1.91,10.69,-,-,12.54,8.97,18.98,14.89
601919,中远海控,沪市主板,中证红利,交通运输,航运港口,航运,15.0,1.59,2,10.6,12.88,0.75,2,5.82,10.3,1.9,2,18.44,12.73,11.62,14.28,-,-,15.29,1.03,6.74,15.35,-,-,15.02,0.56,3.73,16.71,12.74,11.38,15.08
603367,辰欣药业,沪市主板,红利质量,医药生物,化学制药,化学制剂,17.89,0.41,2,2.28,14.25,0.66,2,4.6,14.49,0.34,1,2.31,15.54,3.07,13.43,-,-,13.97,0.22,1.58,23.63,-,-,19.72,0.19,0.95,34.05,12.9,90.38,27.87
601229,上海银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,9.94,0.52,2,5.23,7.35,0.74,2,10.07,6.06,0.4,1,6.6,7.78,7.3,9.21,-,-,10.59,0.22,2.08,10.07,-,-,9.83,0.3,3.05,11.43,8.73,15.0,12.17
601997,贵阳银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,6.04,0.29,1,4.8,5.54,0.29,1,5.24,5.46,0.3,1,5.5,5.68,5.18,5.83,-,-,5.97,0.29,4.86,6.32,-,-,6.01,-,-,7.02,5.59,16.22,7.46
603203,快克智能,沪市主板,中证红利质量,机械设备,自动化设备,工控设备,27.02,0.65,1,2.41,22.06,0.6,1,2.72,29.53,1.0,1,3.39,26.2,2.84,24.2,-,-,23.34,0.65,2.78,28.73,-,-,31.5,-,-,38.42,20.5,42.19,24.13
603871,嘉友国际,沪市主板,中证红利质量,交通运输,物流,跨境物流,13.95,0.6,2,4.3,21.13,0.8,2,3.79,20.46,0.5,1,2.44,18.51,3.51,16.86,-,-,13.77,0.4,2.91,11.87,-,-,13.66,0.2,1.46,19.36,9.83,38.77,29.54
603233,大参林,沪市主板,红利质量,医药生物,医药商业,线下药店,16.8,0.65,2,3.87,17.99,0.62,2,3.45,30.7,0.6,1,1.95,21.83,3.09,14.74,-,-,17.18,0.31,1.8,17.18,-,-,17.94,0.34,1.89,19.41,13.57,15.57,19.21
603816,顾家家居,沪市主板,"中证红利质量, 红利质量",轻工制造,家居用品,成品家居,27.7,1.38,1,4.98,31.48,1.39,1,4.42,40.21,1.11,1,2.76,33.13,4.05,27.84,-,-,24.75,-,-,27.64,1.38,4.99,30.57,-,-,32.38,22.58,16.92,18.47
603259,药明康德,沪市主板,"中证红利质量, 红利质量",医药生物,医疗服务,医疗研发外包,78.19,1.33,2,1.7,48.78,0.99,1,2.03,78.28,0.89,1,1.14,68.42,1.62,60.05,-,-,61.11,0.98,1.61,93.98,0.35,0.37,95.12,-,-,112.85,51.25,44.34,34.45
1206,依依股份,深市主板,中证红利质量,美容护理,个护用品,生活用纸,23.96,0.61,2,2.55,13.96,0.9,3,6.45,18.5,0.75,2,4.05,18.81,4.35,20.05,-,-,19.73,0.37,1.88,25.76,0.24,0.93,30.96,-,-,34.85,14.93,45.47,37.68
2850,科达利,深市主板,红利增长,电力设备,电池,锂电池,132.86,2.0,1,1.51,86.26,1.5,1,1.74,116.25,0.3,1,0.26,111.79,1.17,120.43,-,-,117.26,2.0,1.71,131.52,-,-,161.75,-,-,195.7,90.93,47.3,31.56
408,藏格矿业,深市主板,中证红利,有色金属,能源金属,锂,46.65,1.0,1,2.14,26.81,1.06,2,3.95,24.26,1.76,2,7.26,32.58,4.45,32.88,-,-,37.17,-,-,49.8,1.0,2.01,64.61,-,-,85.33,27.17,82.9,41.76
601019,山东出版,沪市主板,中证红利,传媒,出版,教育出版,9.34,0.37,2,3.96,11.19,0.56,1,5.0,8.71,0.39,1,4.48,9.75,4.48,10.38,-,-,9.89,0.31,3.13,8.84,-,-,8.36,0.06,0.72,11.7,7.6,25.23,18.65
603833,欧派家居,沪市主板,红利质量,轻工制造,家居用品,定制家居,58.63,2.48,1,4.23,60.97,2.76,1,4.53,103.59,1.77,1,1.71,74.39,3.49,64.28,-,-,62.41,-,-,55.48,2.48,4.47,52.94,-,-,70.5,50.53,20.25,13.81
600901,江苏金租,沪市主板,中证红利,非银金融,多元金融,租赁,5.69,0.4,2,7.03,5.02,0.32,1,6.38,5.35,0.35,1,6.54,5.35,6.65,5.09,-,-,5.65,0.27,4.78,5.84,-,-,6.14,0.13,2.12,6.56,4.87,15.28,14.42
603380,易德龙,沪市主板,"中证红利质量, 红利质量",电子,消费电子,消费电子零部件及组装,31.39,1.0,1,3.19,20.67,0.26,1,1.26,24.75,0.14,1,0.57,25.6,1.67,25.29,-,-,23.27,1.0,4.3,37.49,-,-,38.61,-,-,51.92,19.24,65.39,38.71
2895,川恒股份,深市主板,中证红利质量,基础化工,农化制品,磷肥及磷化工,26.56,1.5,2,5.65,19.12,1.0,1,5.23,21.75,0.7,1,3.22,22.48,4.7,22.32,-,-,23.69,1.2,5.07,25.58,0.3,1.17,34.53,-,-,38.94,20.79,46.61,21.73
2192,融捷股份,深市主板,红利质量,有色金属,能源金属,锂,36.13,0.17,1,0.46,36.55,0.3,1,0.82,70.72,0.98,1,1.39,47.8,0.89,31.67,-,-,28.46,-,-,35.22,0.17,0.47,49.03,-,-,65.51,26.68,81.33,26.15
601838,成都银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,17.8,0.89,1,5.0,14.51,0.9,1,6.18,13.22,0.77,1,5.81,15.18,5.66,16.72,-,-,18.46,-,-,18.78,0.89,4.74,17.09,-,-,20.88,15.83,17.29,11.08
603129,春风动力,沪市主板,红利质量,汽车,摩托车及其他,摩托车,221.56,3.85,1,1.74,136.07,2.08,1,1.53,131.41,1.41,1,1.07,163.01,1.45,184.94,-,-,181.61,3.85,2.12,253.01,-,-,261.72,-,-,297.21,139.46,34.14,37.06
601825,沪农商行,沪市主板,中证红利,银行,农商行Ⅱ,农商行Ⅲ,8.84,0.43,2,4.91,7.09,0.62,2,8.72,5.85,0.34,1,5.85,7.26,6.49,8.12,-,-,9.08,0.19,2.13,9.12,0.24,2.64,8.99,-,-,10.37,7.92,17.26,10.44
605028,世茂能源,沪市主板,中证红利质量,公用事业,电力,热力服务,21.24,1.1,3,5.18,15.43,0.6,1,3.89,18.79,0.3,1,1.6,18.49,3.55,16.98,0.6,3.53,17.12,0.2,1.17,22.73,-,-,27.76,0.3,1.08,32.98,15.17,55.3,28.57
603565,中谷物流,沪市主板,"中证红利, 中证红利质量",交通运输,航运港口,航运,10.11,1.22,2,12.07,8.63,0.72,1,8.34,12.22,0.22,1,1.8,10.32,7.41,9.12,-,-,9.99,0.79,7.91,10.54,0.43,4.08,10.69,-,-,11.56,8.69,14.39,14.01
600938,中国海油,沪市主板,"中证红利, 中证红利质量, 红利质量",石油石化,油气开采Ⅱ,油气开采Ⅲ,26.61,1.27,2,4.78,27.85,1.28,2,4.58,18.49,1.22,2,6.59,24.32,5.32,26.81,-,-,25.61,-,-,26.06,0.61,2.32,28.04,0.67,2.38,30.18,23.23,13.4,12.71
603967,中创物流,沪市主板,中证红利,交通运输,物流,跨境物流,11.45,0.6,1,5.24,9.34,0.5,1,5.35,9.75,0.45,1,4.61,10.18,5.07,10.07,-,-,11.91,0.6,5.04,11.55,-,-,12.19,-,-,14.0,9.33,22.3,18.5
603317,天味食品,沪市主板,中证红利质量,食品饮料,调味发酵品Ⅱ,调味发酵品Ⅲ,12.36,0.55,1,4.45,12.4,0.4,1,3.23,17.64,0.32,1,1.81,14.13,3.16,13.25,-,-,12.26,0.55,4.49,11.64,-,-,12.4,-,-,14.63,10.66,18.37,13.75
603529,爱玛科技,沪市主板,红利质量,汽车,摩托车及其他,其他运输设备,36.92,1.22,2,3.3,32.09,0.87,2,2.7,41.38,1.65,2,3.99,36.8,3.33,41.53,-,-,39.38,0.59,1.5,35.71,0.63,1.76,31.41,-,-,46.97,29.5,27.22,20.1
601658,邮储银行,沪市主板,中证红利,银行,国有大型银行Ⅱ,国有大型银行Ⅲ,5.58,0.26,2,4.69,4.98,0.26,1,5.25,4.86,0.26,1,5.31,5.14,5.08,5.33,0.15,2.77,5.32,0.11,2.14,5.93,-,-,5.68,-,-,6.39,5.07,14.59,9.08
605499,东鹏饮料,沪市主板,红利质量,食品饮料,饮料乳品,软饮料,275.85,5.0,2,1.81,212.27,5.0,2,2.36,183.74,2.0,1,1.09,223.95,1.75,234.9,-,-,293.0,2.5,0.85,296.76,2.5,0.84,274.6,-,-,336.5,209.99,21.99,23.88
601077,渝农商行,沪市主板,中证红利,银行,农商行Ⅱ,农商行Ⅲ,6.6,0.3,2,4.62,5.02,0.29,1,5.74,3.86,0.27,1,7.03,5.16,5.8,5.85,0.19,3.33,7.0,0.11,1.57,6.76,-,-,6.72,-,-,7.74,5.54,17.35,16.01
605118,力鼎光电,沪市主板,中证红利质量,计算机,计算机设备,安防设备,24.91,0.61,2,2.45,16.43,0.34,2,2.07,15.38,0.12,1,0.78,18.91,1.77,19.79,-,-,20.2,0.31,1.53,30.54,0.3,0.98,28.29,-,-,35.19,15.55,41.27,37.57
603706,东方环宇,沪市主板,中证红利,公用事业,燃气Ⅱ,燃气Ⅲ,19.82,0.9,1,4.54,15.58,0.9,1,5.78,15.37,0.7,1,4.55,16.92,4.96,18.08,-,-,19.1,0.9,4.71,21.05,-,-,20.82,-,-,24.52,16.79,23.74,15.27
603893,瑞芯微,沪市主板,红利质量,电子,半导体,数字芯片设计,169.39,0.9,2,0.53,63.76,0.2,1,0.31,74.43,0.25,1,0.34,102.53,0.39,157.4,0.25,0.16,153.29,-,-,183.68,0.65,0.35,181.18,-,-,246.3,98.07,45.4,42.11
2959,小熊电器,深市主板,红利质量,家用电器,小家电,厨房小家电,46.56,1.0,1,2.15,49.47,1.2,1,2.43,67.54,0.8,1,1.18,54.52,1.92,43.45,-,-,46.47,1.0,2.15,50.35,-,-,45.44,-,-,55.75,38.91,19.74,16.43
603379,三美股份,沪市主板,红利质量,基础化工,化学制品,氟化工,48.94,0.77,2,1.57,36.32,0.23,1,0.63,29.09,0.24,1,0.82,38.12,1.01,40.92,-,-,45.23,0.45,0.99,52.75,-,-,56.08,0.32,0.57,62.18,37.17,27.05,24.05
603486,科沃斯,沪市主板,红利质量,家用电器,小家电,清洁小家电,69.73,0.45,1,0.65,43.69,0.3,1,0.69,67.16,0.9,1,1.34,60.19,0.89,54.09,-,-,53.13,0.45,0.85,85.02,-,-,84.35,-,-,107.5,42.71,54.17,38.75
601187,厦门银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,6.49,0.3,2,4.62,5.31,0.46,2,8.66,5.45,0.29,1,5.32,5.75,6.2,5.54,-,-,6.2,0.16,2.58,6.9,-,-,7.22,0.14,1.94,7.92,5.2,22.08,19.84
603195,公牛集团,沪市主板,中证红利质量,轻工制造,家居用品,其他家居用品,56.68,2.4,1,4.23,86.47,3.1,1,3.59,123.02,3.3,1,2.68,88.72,3.5,72.56,-,-,65.59,2.4,3.66,47.07,-,-,43.26,-,-,77.24,40.83,36.27,27.97
601963,重庆银行,沪市主板,中证红利,银行,城商行Ⅱ,城商行Ⅲ,10.18,0.41,2,4.07,7.74,0.41,1,5.27,7.67,0.4,1,5.15,8.53,4.83,8.96,0.17,1.85,10.76,0.25,2.3,10.1,-,-,10.84,-,-,11.69,8.57,14.84,15.81
